timestamp,intersection_id,location_lat,location_lon,vehicle_count,avg_speed_kmh,congestion_level
2026-08-31T14:00:00Z,INT-001,40.7128,-74.0060,45,35,low
2026-08-31T14:01:00Z,INT-002,40.7580,-73.9855,180,12,high
2026-08-31T14:02:00Z,INT-003,40.6782,-73.9442,90,25,medium
2026-08-31T14:03:00Z,INT-004,40.7614,-73.9776,220,8,high
2026-08-31T14:04:00Z,INT-005,40.7489,-73.9680,65,42,low
2026-08-31T14:05:00Z,INT-001,40.7128,-74.0060,55,32,low
2026-08-31T14:06:00Z,INT-002,40.7580,-73.9855,195,10,high
2026-08-31T14:07:00Z,INT-003,40.6782,-73.9442,105,22,medium
2026-08-31T14:08:00Z,INT-006,40.7056,-74.0134,75,38,low
2026-08-31T14:09:00Z,INT-004,40.7614,-73.9776,240,6,high
