timestamp,route_id,vehicle_id,location_lat,location_lon,delay_minutes,passenger_load
2026-08-31T14:00:00Z,RTE-A,BUS-101,40.7128,-74.0060,2.5,moderate
2026-08-31T14:01:00Z,RTE-B,BUS-205,40.7580,-73.9855,15.0,full
2026-08-31T14:02:00Z,RTE-A,BUS-102,40.6782,-73.9442,0.0,light
2026-08-31T14:03:00Z,RTE-C,BUS-301,40.7614,-73.9776,8.5,full
2026-08-31T14:04:00Z,RTE-B,BUS-206,40.7489,-73.9680,3.0,moderate
2026-08-31T14:05:00Z,RTE-A,BUS-103,40.7056,-74.0134,1.0,light
2026-08-31T14:06:00Z,RTE-C,BUS-302,40.7282,-73.7942,12.0,full
2026-08-31T14:07:00Z,RTE-B,BUS-207,40.6892,-73.9441,5.5,moderate
2026-08-31T14:08:00Z,RTE-A,BUS-104,40.7128,-74.0060,0.5,light
2026-08-31T14:09:00Z,RTE-C,BUS-303,40.7580,-73.9855,18.0,full
