timestamp,sensor_id,location_lat,location_lon,temperature_c,crowd_count,decibel,air_quality_index
2026-08-31T14:00:00Z,SENSOR-001,40.7128,-74.0060,28.5,120,65,45
2026-08-31T14:01:00Z,SENSOR-002,40.7580,-73.9855,82.3,45,88,120
2026-08-31T14:02:00Z,SENSOR-003,40.6782,-73.9442,24.0,600,95,180
2026-08-31T14:03:00Z,SENSOR-004,40.7614,-73.9776,26.1,80,55,35
2026-08-31T14:04:00Z,SENSOR-005,40.7489,-73.9680,29.2,350,72,65
2026-08-31T14:05:00Z,SENSOR-006,40.7056,-74.0134,25.8,90,68,50
2026-08-31T14:06:00Z,SENSOR-007,40.7282,-73.7942,31.5,520,92,110
2026-08-31T14:07:00Z,SENSOR-008,40.6892,-73.9441,27.3,150,78,75
2026-08-31T14:08:00Z,SENSOR-009,40.7580,-73.9855,85.1,60,85,135
2026-08-31T14:09:00Z,SENSOR-010,40.7128,-74.0060,28.9,180,70,48
